date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,geocoded_state_x,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,geocoded_state_y,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied,geocoded_state
2021-04-07,AL,1,517452,10652,10285,10285,10285,73.95,73.95,73.95,13908,13908,13908,POINT (-86.844516 32.756889),375,375,375,2.7,2.7,2.7,13908,13908,13908,POINT (-86.844516 32.756889),1332,1332,1332,84.09,84.09,84.09,1584,1584,1584,POINT (-86.844516 32.756889)
2021-04-07,AK,2,63785,299,886,886,886,59.54,59.54,59.54,1488,1488,1488,POINT (-151.631889 63.631126),43,43,43,2.89,2.89,2.89,1488,1488,1488,POINT (-151.631889 63.631126),90,90,90,63.83,63.83,63.83,141,141,141,POINT (-151.631889 63.631126)
2021-04-07,AZ,4,846241,17025,9891,9889,9893,69.79,69.68,69.9,14173,14164,14182,POINT (-111.664616 34.293239),542,542,542,3.83,3.8,3.85,14173,14164,14182,POINT (-111.664616 34.293239),1062,1062,1062,49.05,49.05,49.05,2165,2165,2165,POINT (-111.664616 34.293239)
2021-04-07,AR,5,331505,5660,5370,5370,5370,69.7,69.7,69.7,7704,7704,7704,POINT (-92.439162 34.899825),197,197,197,2.56,2.56,2.56,7704,7704,7704,POINT (-92.439162 34.899825),690,690,690,68.18,68.18,68.18,1012,1012,1012,POINT (-92.439162 34.899825)
2021-04-07,CA,6,3687635,59975,43622,43622,43622,73.89,73.89,73.89,59034,59034,59034,POINT (-119.662127 37.211164),2279,2279,2279,3.86,3.86,3.86,59034,59034,59034,POINT (-119.662127 37.211164),4798,4798,4798,69.87,69.87,69.87,6867,6860,6874,POINT (-119.662127 37.211164)
2021-04-07,CO,8,473913,6195,6908,6908,6908,67.95,67.95,67.95,10166,10166,10166,POINT (-105.547832 38.998552),481,481,481,4.73,4.73,4.73,10166,10166,10166,POINT (-105.547832 38.998552),859,859,859,68.78,68.78,68.78,1249,1249,1249,POINT (-105.547832 38.998552)
2021-04-07,CT,9,318767,7935,6326,6326,6326,81.08,81.08,81.08,7802,7802,7802,POINT (-72.738288 41.575155),592,592,592,7.59,7.59,7.59,7802,7802,7802,POINT (-72.738288 41.575155),605,605,605,58.4,58.4,58.4,1036,1036,1036,POINT (-72.738288 41.575155)
2021-04-07,DE,10,97042,1567,1920,1920,1920,73.45,73.45,73.45,2614,2614,2614,POINT (-75.452394 38.994926),192,192,192,7.35,7.35,7.35,2614,2614,2614,POINT (-75.452394 38.994926),150,150,150,80.65,80.65,80.65,186,186,186,POINT (-75.452394 38.994926)
2021-04-07,DC,11,45328,1076,2103,2103,2103,77.34,77.34,77.34,2719,2719,2719,POINT (-77.016275 38.904785),208,208,208,7.65,7.65,7.65,2719,2719,2719,POINT (-77.016275 38.904785),263,263,263,85.67,85.67,85.67,307,307,307,POINT (-77.016275 38.904785)
2021-04-07,FL,12,2096739,33821,41733,41733,41733,79.32,79.32,79.32,52613,52613,52613,POINT (-82.420978 28.260731),3423,3423,3423,6.63,6.63,6.63,52613,52613,52613,POINT (-82.420978 28.260731),5073,5073,5073,78.77,78.77,78.77,6440,6440,6440,POINT (-82.420978 28.260731)
2021-04-07,GA,13,1044399,18714,14533,14300,14766,76.55,76.19,76.92,19313,19287,19339,POINT (-83.426574 32.638481),1387,1387,1387,7.18,7.11,7.25,19313,19287,19339,POINT (-83.426574 32.638481),2164,2162,2166,77.79,77.53,78.04,2782,2780,2784,POINT (-83.426574 32.638481)
2021-04-07,HI,15,30552,464,1723,1723,1723,69.39,69.39,69.39,2483,2483,2483,POINT (-157.854309 21.361013),59,59,59,2.38,2.38,2.38,2483,2483,2483,POINT (-157.854309 21.361013),131,131,131,62.38,62.38,62.38,210,210,210,POINT (-157.854309 21.361013)
2021-04-07,ID,16,182661,1984,1870,1870,1870,57.64,57.64,57.64,3244,3244,3244,POINT (-114.659366 44.389073),160,160,160,4.93,4.93,4.93,3244,3244,3244,POINT (-114.659366 44.389073),210,210,210,70.71,70.71,70.71,297,297,297,POINT (-114.659366 44.389073)
2021-04-07,IL,17,1269002,23702,20161,20161,20161,70.41,70.41,70.41,28633,28633,28633,POINT (-89.148632 40.124144),1814,1812,1816,6.34,6.34,6.34,28633,28633,28633,POINT (-89.148632 40.124144),2184,2184,2184,63.86,63.86,63.86,3420,3420,3420,POINT (-89.148632 40.124144)
2021-04-07,IN,18,696749,13099,11027,11027,11027,65.34,65.34,65.34,16876,16876,16876,POINT (-86.2818 39.919991),787,787,787,4.66,4.66,4.66,16876,16876,16876,POINT (-86.2818 39.919991),1499,1499,1499,68.04,68.04,68.04,2203,2199,2207,POINT (-86.2818 39.919991)
2021-04-07,IA,19,354828,5836,4916,4916,4916,63.7,63.7,63.7,7717,7717,7717,POINT (-93.500061 42.074659),224,224,224,2.94,2.94,2.94,7717,7717,7717,POINT (-93.500061 42.074659),454,454,454,68.58,68.58,68.58,662,662,662,POINT (-93.500061 42.074659)
2021-04-07,KS,20,306077,4932,4545,4545,4545,58.14,58.14,58.14,7818,7818,7818,POINT (-98.38018 38.484729),190,190,190,2.43,2.43,2.43,7818,7818,7818,POINT (-98.38018 38.484729),557,557,557,70.51,70.51,70.51,790,790,790,POINT (-98.38018 38.484729)
2021-04-07,KY,21,434238,6295,7132,7132,7132,57.96,57.96,57.96,12305,12305,12305,POINT (-85.290484 37.526683),398,398,398,3.23,3.23,3.23,12305,12305,12305,POINT (-85.290484 37.526683),1020,1020,1020,57.99,57.99,57.99,1759,1759,1759,POINT (-85.290484 37.526683)
2021-04-07,LA,22,447655,10185,8421,8421,8421,67.27,67.27,67.27,12519,12519,12519,POINT (-91.840238 30.921314),254,254,254,2.06,2.06,2.06,12519,12519,12519,POINT (-91.840238 30.921314),1120,1120,1120,64.33,64.33,64.33,1741,1741,1741,POINT (-91.840238 30.921314)
2021-04-07,ME,23,52677,747,2003,2003,2003,69.89,69.89,69.89,2866,2866,2866,POINT (-69.06137 45.117911),98,98,98,3.42,3.42,3.42,2866,2866,2866,POINT (-69.06137 45.117911),240,240,240,74.53,74.53,74.53,322,322,322,POINT (-69.06137 45.117911)
2021-04-07,MD,24,420712,8389,8388,8388,8388,86.02,86.02,86.02,9751,9751,9751,POINT (-76.687282 38.946466),1445,1445,1445,14.82,14.82,14.82,9751,9751,9751,POINT (-76.687282 38.946466),1030,1030,1030,78.99,78.99,78.99,1304,1304,1304,POINT (-76.687282 38.946466)
2021-04-07,MA,25,650573,17358,14068,14037,14099,83.83,83.83,83.83,16781,16781,16781,POINT (-71.481104 42.151077),649,649,649,3.87,3.87,3.87,16781,16781,16781,POINT (-71.481104 42.151077),1045,1045,1045,75.18,75.18,75.18,1390,1390,1390,POINT (-71.481104 42.151077)
2021-04-07,MI,26,795038,17362,17124,17124,17124,80.58,80.58,80.58,21251,21251,21251,POINT (-85.730977 44.874798),3573,3573,3573,16.81,16.81,16.81,21251,21251,21251,POINT (-85.730977 44.874798),2074,2074,2074,81.72,81.72,81.72,2538,2538,2538,POINT (-85.730977 44.874798)
2021-04-07,MN,27,532736,6986,7581,7581,7581,77.55,77.55,77.55,9776,9776,9776,POINT (-94.198308 46.349153),666,666,666,6.81,6.81,6.81,9776,9776,9776,POINT (-94.198308 46.349153),691,691,691,75.44,75.44,75.44,916,916,916,POINT (-94.198308 46.349153)
2021-04-07,MS,28,306611,7077,4859,4859,4859,62.06,62.06,62.06,7830,7830,7830,POINT (-89.65344 32.713378),233,233,233,2.98,2.98,2.98,7830,7830,7830,POINT (-89.65344 32.713378),595,595,595,72.21,72.21,72.21,824,824,824,POINT (-89.65344 32.713378)
2021-04-07,MO,29,592986,9001,11365,11365,11365,78.7,78.7,78.7,14440,14440,14440,POINT (-92.477244 38.3675),816,816,816,5.65,5.65,5.65,14440,14440,14440,POINT (-92.477244 38.3675),1318,1318,1318,80.37,80.37,80.37,1640,1640,1640,POINT (-92.477244 38.3675)
2021-04-07,MT,30,105660,1490,1792,1792,1792,63.03,63.03,63.03,2843,2843,2843,POINT (-109.645127 47.033521),47,47,47,1.65,1.65,1.65,2843,2843,2843,POINT (-109.645127 47.033521),126,126,126,54.31,54.31,54.31,232,232,232,POINT (-109.645127 47.033521)
2021-04-07,NE,31,212785,2289,2722,2722,2722,67.8,67.8,67.8,4015,4015,4015,POINT (-99.810595 41.527099),175,175,175,4.45,4.45,4.45,4015,4015,4015,POINT (-99.810595 41.527099),390,390,390,68.54,68.54,68.54,569,569,569,POINT (-99.810595 41.527099)
2021-04-07,NV,32,305929,5308,5406,5406,5406,71.45,71.45,71.45,7566,7566,7566,POINT (-114.916992 39.283294),325,325,325,4.39,4.39,4.39,7566,7566,7566,POINT (-114.916992 39.283294),625,625,625,72.67,72.67,72.67,860,860,860,POINT (-114.916992 39.283294)
2021-04-07,NH,33,86935,1250,2023,2023,2023,72.56,72.56,72.56,2788,2788,2788,POINT (-71.57139 43.680429),113,113,113,4.05,4.05,4.05,2788,2788,2788,POINT (-71.57139 43.680429),180,180,180,63.83,63.83,63.83,282,282,282,POINT (-71.57139 43.680429)
2021-04-07,NJ,34,937979,24744,14448,14448,14448,71.07,71.07,71.07,20328,20328,20328,POINT (-74.655514 40.110253),2361,2361,2361,11.61,11.61,11.61,20328,20328,20328,POINT (-74.655514 40.110253),1376,1376,1376,47.09,47.09,47.09,2922,2922,2922,POINT (-74.655514 40.110253)
2021-04-07,NM,35,192989,3965,2633,2608,2658,72.0,69.64,74.35,3657,3620,3694,POINT (-106.108388 34.421369),99,99,99,2.71,2.36,3.06,3657,3620,3694,POINT (-106.108388 34.421369),327,323,331,80.74,78.05,83.44,405,401,409,POINT (-106.108388 34.421369)
2021-04-07,NY,36,1923414,50332,35791,35791,35791,74.14,74.14,74.14,48278,48278,48278,POINT (-75.59655 42.921241),5123,5123,5123,10.61,10.61,10.61,48278,48278,48278,POINT (-75.59655 42.921241),3761,3753,3769,68.59,68.17,69.02,5483,5474,5492,POINT (-75.59655 42.921241)
2021-04-07,NC,37,930777,12235,16343,16343,16343,75.48,75.48,75.48,21653,21653,21653,POINT (-79.130883 35.52603),1073,1073,1073,4.98,4.98,4.98,21653,21653,21653,POINT (-79.130883 35.52603),1874,1870,1878,76.4,76.4,76.4,2453,2453,2453,POINT (-79.130883 35.52603)
2021-04-07,ND,38,104198,1499,1362,1362,1362,67.53,67.53,67.53,2017,2017,2017,POINT (-100.46931 47.446305),86,86,86,4.26,4.26,4.26,2017,2017,2017,POINT (-100.46931 47.446305),106,106,106,54.64,54.64,54.64,194,194,194,POINT (-100.46931 47.446305)
2021-04-07,OH,39,1030864,18741,20701,20701,20701,72.01,72.01,72.01,28747,28747,28747,POINT (-82.70936 40.415534),1619,1619,1619,5.64,5.64,5.64,28747,28747,28747,POINT (-82.70936 40.415534),2748,2748,2748,68.12,68.12,68.12,4034,4034,4034,POINT (-82.70936 40.415534)
2021-04-07,OK,40,441906,6669,6492,6468,6516,68.78,67.8,69.75,9439,9395,9483,POINT (-97.508297 35.583449),304,303,305,3.27,3.08,3.46,9439,9395,9483,POINT (-97.508297 35.583449),773,771,775,77.22,76.56,77.89,1001,999,1003,POINT (-97.508297 35.583449)
2021-04-07,OR,41,168129,2446,5092,5092,5092,75.39,75.39,75.39,6754,6754,6754,POINT (-120.605279 43.940449),239,239,239,3.54,3.54,3.54,6754,6754,6754,POINT (-120.605279 43.940449),528,528,528,67.52,67.52,67.52,782,782,782,POINT (-120.605279 43.940449)
2021-04-07,PA,42,1060102,25342,24086,24086,24086,84.03,84.03,84.03,28662,28662,28662,POINT (-77.838886 40.896694),2920,2912,2928,10.33,10.33,10.33,28662,28662,28662,POINT (-77.838886 40.896694),3086,3086,3086,83.34,83.34,83.34,3703,3703,3703,POINT (-77.838886 40.896694)
2021-04-07,RI,44,140025,2635,1990,1782,2198,88.52,62.05,115.0,2248,2036,2460,POINT (-71.534637 41.572574),189,189,189,8.41,2.95,13.87,2248,2036,2460,POINT (-71.534637 41.572574),130,130,130,83.87,83.87,83.87,155,155,155,POINT (-71.534637 41.572574)
2021-04-07,SC,45,558631,9213,7534,7238,7830,76.57,67.18,85.97,9839,9480,10198,POINT (-80.864614 33.878572),480,466,494,4.88,2.82,6.94,9839,9480,10198,POINT (-80.864614 33.878572),916,868,964,70.41,58.44,82.37,1301,1238,1364,POINT (-80.864614 33.878572)
2021-04-07,SD,46,118975,1938,1389,1389,1389,59.13,59.13,59.13,2349,2349,2349,POINT (-100.230491 44.43614),94,94,94,4.0,4.0,4.0,2349,2349,2349,POINT (-100.230491 44.43614),115,115,115,50.88,50.88,50.88,226,226,226,POINT (-100.230491 44.43614)
2021-04-07,TN,47,805232,11875,12011,12011,12011,68.29,68.29,68.29,17589,17589,17589,POINT (-86.343226 35.842998),918,918,918,5.35,5.35,5.35,17589,17589,17589,POINT (-86.343226 35.842998),1705,1705,1705,72.8,72.8,72.8,2342,2342,2342,POINT (-86.343226 35.842998)
2021-04-07,TX,48,2815609,49073,43801,43712,43890,72.06,71.63,72.48,60787,60697,60877,POINT (-99.317341 31.447238),3350,3350,3350,5.52,5.52,5.52,60787,60697,60877,POINT (-99.317341 31.447238),5962,5962,5962,84.7,84.7,84.7,7039,7036,7042,POINT (-99.317341 31.447238)
2021-04-07,UT,49,388486,2139,3079,3079,3079,58.08,58.08,58.08,5301,5301,5301,POINT (-111.678222 39.323779),142,142,142,2.68,2.68,2.68,5301,5301,5301,POINT (-111.678222 39.323779),352,352,352,58.09,58.09,58.09,606,606,606,POINT (-111.678222 39.323779)
2021-04-07,VT,50,20442,230,795,795,795,67.2,67.2,67.2,1183,1183,1183,POINT (-72.662695 44.075252),27,27,27,2.28,2.28,2.28,1183,1183,1183,POINT (-72.662695 44.075252),72,72,72,74.23,74.23,74.23,97,97,97,POINT (-72.662695 44.075252)
2021-04-07,VA,51,629155,10415,11769,11769,11769,73.23,73.23,73.23,16072,16072,16072,POINT (-78.666382 37.510861),1082,1082,1082,6.73,6.73,6.73,16072,16072,16072,POINT (-78.666382 37.510861),1353,1353,1353,70.76,70.76,70.76,1912,1912,1912,POINT (-78.666382 37.510861)
2021-04-07,WA,53,374402,5357,8690,8690,8690,65.75,65.75,65.75,13217,13217,13217,POINT (-120.592492 47.411715),474,466,482,3.59,3.59,3.59,13217,13217,13217,POINT (-120.592492 47.411715),938,938,938,67.97,67.97,67.97,1380,1380,1380,POINT (-120.592492 47.411715)
2021-04-07,WV,54,144374,2722,3797,3797,3797,76.24,76.24,76.24,4980,4980,4980,POINT (-80.613729 38.642579),280,280,280,5.62,5.62,5.62,4980,4980,4980,POINT (-80.613729 38.642579),463,463,463,76.78,76.78,76.78,603,603,603,POINT (-80.613729 38.642579)
2021-04-07,WI,55,641851,7357,8011,8011,8011,66.38,66.38,66.38,12068,12068,12068,POINT (-89.732969 44.639954),345,345,345,2.92,2.92,2.92,12068,12068,12068,POINT (-89.732969 44.639954),934,934,934,58.67,58.67,58.67,1592,1592,1592,POINT (-89.732969 44.639954)
2021-04-07,WY,56,56700,701,597,597,597,41.57,41.57,41.57,1436,1436,1436,POINT (-107.55145 42.999627),28,28,28,1.96,1.96,1.96,1436,1436,1436,POINT (-107.55145 42.999627),46,46,46,39.32,39.32,39.32,117,117,117,POINT (-107.55145 42.999627)
2021-04-08,AL,1,517916,10675,10184,10184,10184,73.12,73.12,73.12,13927,13927,13927,POINT (-86.844516 32.756889),383,383,383,2.75,2.75,2.75,13927,13927,13927,POINT (-86.844516 32.756889),1309,1309,1309,82.53,82.53,82.53,1586,1586,1586,POINT (-86.844516 32.756889)
2021-04-08,AK,2,64013,299,860,860,860,57.95,57.95,57.95,1484,1484,1484,POINT (-151.631889 63.631126),52,52,52,3.5,3.5,3.5,1484,1484,1484,POINT (-151.631889 63.631126),100,100,100,71.94,71.94,71.94,139,139,139,POINT (-151.631889 63.631126)
2021-04-08,AZ,4,846917,17055,9896,9895,9898,69.98,69.98,69.98,14141,14141,14141,POINT (-111.664616 34.293239),566,565,568,4.01,4.01,4.01,14141,14141,14141,POINT (-111.664616 34.293239),1062,1060,1064,48.92,48.92,48.92,2171,2171,2171,POINT (-111.664616 34.293239)
2021-04-08,AR,5,331704,5662,5469,5468,5470,70.91,70.91,70.91,7713,7713,7713,POINT (-92.439162 34.899825),189,189,189,2.45,2.45,2.45,7713,7713,7713,POINT (-92.439162 34.899825),683,683,683,68.3,68.3,68.3,1000,1000,1000,POINT (-92.439162 34.899825)
2021-04-08,CA,6,3690178,60114,43785,43785,43785,74.36,74.36,74.36,58883,58883,58883,POINT (-119.662127 37.211164),2139,2135,2143,3.63,3.63,3.63,58883,58883,58883,POINT (-119.662127 37.211164),4805,4805,4805,70.23,70.23,70.23,6842,6836,6848,POINT (-119.662127 37.211164)
2021-04-08,CO,8,476630,6200,6912,6912,6912,68.0,68.0,68.0,10165,10165,10165,POINT (-105.547832 38.998552),477,476,478,4.69,4.69,4.69,10165,10165,10165,POINT (-105.547832 38.998552),854,854,854,68.37,68.37,68.37,1249,1249,1249,POINT (-105.547832 38.998552)
2021-04-08,CT,9,319779,7940,6263,6263,6263,80.16,80.16,80.16,7813,7813,7813,POINT (-72.738288 41.575155),596,596,597,7.63,7.63,7.63,7813,7813,7813,POINT (-72.738288 41.575155),592,592,592,57.14,57.14,57.14,1036,1036,1036,POINT (-72.738288 41.575155)
2021-04-08,DE,10,97404,1568,1938,1938,1938,74.08,74.08,74.08,2616,2616,2616,POINT (-75.452394 38.994926),201,201,201,7.68,7.68,7.68,2616,2616,2616,POINT (-75.452394 38.994926),158,157,159,84.95,84.95,84.95,186,186,186,POINT (-75.452394 38.994926)
2021-04-08,DC,11,45498,1077,2098,2098,2098,77.02,77.02,77.02,2724,2724,2724,POINT (-77.016275 38.904785),189,189,189,6.94,6.94,6.94,2724,2724,2724,POINT (-77.016275 38.904785),262,262,262,80.62,80.62,80.62,325,325,325,POINT (-77.016275 38.904785)
2021-04-08,FL,12,2104678,33905,41926,41926,41926,79.54,79.54,79.54,52712,52712,52712,POINT (-82.420978 28.260731),3450,3450,3450,6.67,6.67,6.67,52712,52712,52712,POINT (-82.420978 28.260731),5166,5166,5166,79.98,79.98,79.98,6459,6459,6459,POINT (-82.420978 28.260731)
2021-04-08,GA,13,1045930,18780,14699,14466,14932,77.23,76.95,77.51,19362,19342,19382,POINT (-83.426574 32.638481),1420,1420,1420,7.33,7.28,7.39,19362,19342,19382,POINT (-83.426574 32.638481),2172,2170,2175,77.9,77.68,78.11,2789,2787,2791,POINT (-83.426574 32.638481)
2021-04-08,HI,15,30673,467,1726,1726,1726,69.51,69.51,69.51,2483,2483,2483,POINT (-157.854309 21.361013),57,57,57,2.3,2.3,2.3,2483,2483,2483,POINT (-157.854309 21.361013),133,132,134,60.18,60.18,60.18,221,221,221,POINT (-157.854309 21.361013)
