,date,state,fips,cases,deaths,Inpatient Beds Occupied Estimated,Count LL_inpatient beds occupied,Count UL_inpatient beds occupied,Percentage of Inpatient Beds Occupied Estimated,Percentage LL_inpatient beds occupied,Percentage UL_inpatient beds occupied,Total Inpatient Beds_x,Total LL_inpatient beds occupied,Total UL_inpatient beds occupied,Inpatient Beds Occupied by COVID-19 Patients Estimated,Count LL_occupied by COVID-19 patients,Count UL_occupied by COVID-19 patients,Percentage of Inpatient Beds Occupied by COVID-19 Patients Estimated,Percentage LL_occupied by COVID-19 patients,Percentage UL_occupied by COVID-19 patients,Total Inpatient Beds_y,Total LL_occupied by COVID-19 patients,Total UL_occupied by COVID-19 patients,Staffed Adult ICU Beds Occupied Estimated,Count LL_ICU Beds Occupied,Count UL_ICU Beds Occupied,Percentage of Staffed Adult ICU Beds Occupied Estimated,Percentage LL_ICU Beds Occupied,Percentage UL_ICU Beds Occupied,Total Staffed Adult ICU Beds,Total LL_ICU Beds Occupied,Total UL_ICU Beds Occupied
0,2020-12-02,AL,1,256828,3711,11036,11036,11036,77.89,77.89,77.89,14168,14168,14168,1895,1893,1897,13.38,13.38,13.38,14168,14168,14168,1312,1312,1312,88.53,88.53,88.53,1482,1482,1482
1,2020-12-02,AK,2,33614,116,933,933,933,65.02,65.02,65.02,1435,1435,1435,155,155,155,10.8,10.8,10.8,1435,1435,1435,103,103,103,81.1,81.1,81.1,127,127,127
2,2020-12-02,AZ,4,342925,6755,10620,10613,10627,76.94,76.75,77.13,13803,13791,13815,2841,2838,2844,20.6,20.47,20.74,13803,13791,13815,1389,1389,1389,69.83,69.83,69.83,1989,1989,1989
3,2020-12-02,AR,5,161521,2522,5531,5531,5531,73.53,73.53,73.53,7522,7522,7522,1093,1090,1096,14.53,14.53,14.53,7522,7522,7522,822,822,822,80.99,80.99,80.99,1015,1015,1015
4,2020-12-02,CA,6,1272041,19440,47713,47665,47761,75.98,75.91,76.06,62870,62821,62919,9581,9562,9600,15.26,15.17,15.35,62870,62821,62919,5862,5855,5869,79.7,79.7,79.7,7369,7365,7373
5,2020-12-02,CO,8,243324,3226,7028,7028,7028,69.16,69.16,69.16,10162,10162,10162,1977,1977,1977,19.45,19.45,19.45,10162,10162,10162,1040,1040,1040,69.85,69.85,69.85,1489,1489,1489
6,2020-12-02,CT,9,121426,5091,6301,6301,6301,77.19,77.19,77.19,8163,8163,8163,1355,1355,1355,16.6,16.6,16.6,8163,8163,8163,615,615,615,55.91,55.91,55.91,1100,1100,1100
7,2020-12-02,DE,10,36698,779,1863,1863,1863,73.49,73.49,73.49,2535,2535,2535,320,320,320,12.62,12.62,12.62,2535,2535,2535,147,147,147,84.48,84.48,84.48,174,174,174
8,2020-12-02,DC,11,21842,690,2411,2411,2411,82.4,82.4,82.4,2926,2926,2926,232,232,232,7.93,7.93,7.93,2926,2926,2926,280,280,280,82.84,82.84,82.84,338,338,338
9,2020-12-02,FL,12,1018152,18775,41234,41234,41234,79.6,79.6,79.6,51803,51803,51803,4942,4942,4942,9.72,9.72,9.72,51803,51803,51803,5090,5090,5090,81.71,81.71,81.71,6229,6229,6229
10,2020-12-02,GA,13,464417,9301,15738,15738,15738,83.11,83.11,83.11,18937,18937,18937,2640,2637,2643,13.94,13.94,13.94,18937,18937,18937,2286,2286,2286,86.76,86.76,86.76,2635,2635,2635
11,2020-12-02,HI,15,18117,242,1778,1778,1778,70.42,70.42,70.42,2525,2525,2525,56,56,56,2.22,2.22,2.22,2525,2525,2525,143,143,143,64.13,64.13,64.13,223,223,223
12,2020-12-02,ID,16,105250,1002,1907,1906,1908,61.22,60.81,61.63,3115,3107,3123,459,459,459,14.74,14.53,14.94,3115,3107,3123,225,225,225,79.51,79.51,79.51,283,283,283
13,2020-12-02,IL,17,750208,13433,20634,20549,20719,70.44,69.4,71.49,29291,29154,29428,5715,5682,5748,19.51,18.86,20.16,29291,29154,29428,2491,2481,2501,67.99,67.05,68.92,3664,3650,3678
14,2020-12-02,IN,18,353722,5973,11614,11614,11614,70.35,70.35,70.35,16509,16509,16509,3336,3336,3336,20.21,20.21,20.21,16509,16509,16509,1728,1728,1728,79.34,79.34,79.34,2178,2178,2178
15,2020-12-02,IA,19,236159,2518,5145,5145,5145,64.38,64.38,64.38,7992,7992,7992,1116,1116,1116,14.15,14.15,14.15,7992,7992,7992,541,541,541,78.29,78.29,78.29,691,691,691
16,2020-12-02,KS,20,164981,1679,4763,4763,4763,63.71,63.71,63.71,7476,7476,7476,1229,1229,1229,16.44,16.44,16.44,7476,7476,7476,649,649,649,80.82,80.82,80.82,803,803,803
17,2020-12-02,KY,21,191067,2124,8705,8705,8705,73.37,73.37,73.37,11864,11864,11864,1845,1845,1845,15.55,15.55,15.55,11864,11864,11864,1171,1171,1171,75.11,75.11,75.11,1559,1559,1559
18,2020-12-02,LA,22,241335,6501,8836,8836,8836,69.91,69.91,69.91,12640,12640,12640,1174,1174,1174,9.46,9.46,9.46,12640,12640,12640,1307,1307,1307,73.63,73.63,73.63,1775,1775,1775
19,2020-12-02,ME,23,12208,218,1981,1979,1983,69.29,68.6,69.98,2859,2848,2870,181,181,181,6.33,6.13,6.53,2859,2848,2870,230,230,230,72.33,71.59,73.07,318,317,319
20,2020-12-02,MD,24,203672,4715,8054,8054,8054,83.11,83.11,83.11,9691,9691,9691,1922,1922,1922,19.83,19.83,19.83,9691,9691,9691,993,993,993,76.92,76.92,76.92,1291,1291,1291
21,2020-12-02,MA,25,234232,10824,11883,11883,11883,70.02,70.02,70.02,16970,16970,16970,1255,1250,1260,7.4,7.4,7.4,16970,16970,16970,1044,1044,1044,56.49,56.49,56.49,1848,1848,1848
22,2020-12-02,MI,26,402255,9839,16574,16574,16574,80.46,80.46,80.46,20600,20600,20600,4223,4223,4223,20.5,20.5,20.5,20600,20600,20600,2135,2135,2135,83.01,83.01,83.01,2572,2572,2572
23,2020-12-02,MN,27,327536,3751,7620,7606,7634,75.78,75.25,76.3,10056,10027,10085,1988,1988,1988,19.77,19.77,19.77,10056,10027,10085,782,782,782,80.7,80.7,80.7,969,964,974
24,2020-12-02,MS,28,156868,3851,5378,5371,5385,66.46,66.46,66.46,8092,8080,8104,1095,1082,1108,13.56,13.56,13.56,8092,8080,8104,721,721,721,83.93,83.93,83.93,859,859,859
25,2020-12-02,MO,29,321411,4185,11490,11490,11490,79.84,79.84,79.84,14392,14392,14392,2645,2639,2651,18.38,18.38,18.38,14392,14392,14392,1559,1559,1559,87.54,87.54,87.54,1781,1781,1781
26,2020-12-02,MT,30,64399,713,1946,1946,1946,67.97,67.97,67.97,2863,2863,2863,430,430,430,15.02,15.02,15.02,2863,2863,2863,169,169,169,72.84,72.84,72.84,232,232,232
27,2020-12-02,NE,31,133139,1139,3401,3401,3401,71.71,71.71,71.71,4743,4743,4743,883,883,883,18.94,18.94,18.94,4743,4743,4743,436,436,436,75.69,75.69,75.69,576,576,576
28,2020-12-02,NV,32,157586,2225,6026,6026,6026,81.65,81.65,81.65,7380,7380,7380,1645,1641,1649,22.85,22.85,22.85,7380,7380,7380,751,751,751,83.17,83.17,83.17,903,903,903
29,2020-12-02,NH,33,22332,537,2022,2022,2022,73.0,73.0,73.0,2770,2770,2770,185,185,185,6.68,6.68,6.68,2770,2770,2770,174,174,174,61.7,61.7,61.7,282,282,282
30,2020-12-02,NJ,34,348042,17145,15487,15487,15487,78.85,78.85,78.85,19640,19640,19640,3402,3402,3402,17.32,17.32,17.32,19640,19640,19640,1611,1611,1611,69.08,69.08,69.08,2332,2332,2332
31,2020-12-02,NM,35,100963,1629,2869,2848,2890,76.43,74.75,78.1,3754,3731,3777,846,836,856,22.73,22.73,22.73,3754,3731,3777,404,401,407,101.0,99.4,102.6,400,400,400
32,2020-12-02,NY,36,669016,34286,35431,35431,35431,75.08,75.08,75.08,47193,47193,47193,5043,5039,5047,10.69,10.69,10.69,47193,47193,47193,3562,3562,3562,59.54,59.54,59.54,5983,5983,5983
33,2020-12-02,NC,37,372525,5406,16693,16693,16693,77.42,77.42,77.42,21563,21563,21563,2428,2296,2560,11.72,11.72,11.72,21563,21563,21563,1974,1974,1974,81.03,81.03,81.03,2436,2436,2436
34,2020-12-02,ND,38,80141,972,1573,1571,1575,78.1,77.54,78.67,2014,2008,2020,430,430,430,21.35,21.07,21.63,2014,2008,2020,140,140,140,88.05,88.05,88.05,159,159,159
35,2020-12-02,OH,39,437928,6671,21083,21031,21135,72.08,71.35,72.82,29248,29144,29352,5526,5496,5556,18.93,18.62,19.24,29248,29144,29352,3128,3128,3128,78.53,78.53,78.53,3983,3983,3983
36,2020-12-02,OK,40,202341,1812,7002,7002,7002,75.22,75.22,75.22,9309,9309,9309,1647,1647,1647,17.96,17.96,17.96,9309,9309,9309,911,911,911,86.19,86.19,86.19,1057,1057,1057
37,2020-12-02,OR,41,78206,962,4881,4881,4881,74.24,74.24,74.24,6575,6575,6575,665,665,665,10.11,10.11,10.11,6575,6575,6575,512,512,512,66.93,66.93,66.93,765,765,765
38,2020-12-02,PA,42,381342,10803,25031,25019,25043,77.64,77.53,77.76,32239,32225,32253,6042,6029,6055,18.96,18.91,19.01,32239,32225,32253,3371,3371,3371,84.3,84.13,84.46,3999,3995,4003
39,2020-12-02,RI,44,59005,1391,1775,1516,2034,87.83,87.83,87.83,2021,1758,2284,452,452,452,22.37,22.37,22.37,2021,1758,2284,147,147,147,90.74,90.74,90.74,162,162,162
40,2020-12-02,SC,45,220835,4444,7971,7969,7973,82.07,81.93,82.21,9712,9705,9719,1023,1023,1023,10.53,10.49,10.58,9712,9705,9719,1019,1019,1019,80.68,80.68,80.68,1263,1263,1263
41,2020-12-02,SD,46,82203,995,1575,1575,1575,66.46,66.46,66.46,2370,2370,2370,510,510,510,21.52,21.52,21.52,2370,2370,2370,181,181,181,87.02,87.02,87.02,208,208,208
42,2020-12-02,TN,47,375995,4635,12559,12559,12559,75.99,75.99,75.99,16527,16527,16527,2582,2582,2582,16.09,16.09,16.09,16527,16527,16527,1882,1882,1882,86.29,86.29,86.29,2181,2181,2181
